record Time,Original_Count,Filtered_Count,Avg_Current,Avg_Voltage,Avg_Resistance,Avg_Temperature,Avg_Current_Scaled,Avg_Voltage_Scaled,Avg_Resistance_Scaled,Avg_Temperature_Scaled
2025-02-06 00:00:00,320,320,38.162959375,109.17750000000001,2.8633231966708768,919.8944818496705,0.7237339106207875,0.6943431600657359,-0.19485588829179534,1.5114808406989555
2025-02-06 01:00:00,332,332,35.2437921686747,101.1012048192771,2.8686650360269996,917.5199638274779,0.10044256441165014,0.09166068775682823,0.03386623932075023,1.47851702522312
2025-02-06 02:00:00,333,322,27.951543478260874,80.26273291925466,2.8712050555963695,834.1710301748714,-1.4565753046885686,-1.4633817522250487,0.142622538668817,0.3214405813495733
2025-02-06 03:00:00,324,323,36.592597523219816,105.56873065015479,2.8757917467858722,813.5188145120816,0.3884352163525453,0.42504368733860776,0.3390114035571475,0.034739945720468755
2025-02-06 04:00:00,336,336,36.40169345238095,104.23809523809524,2.866168899012163,725.5410357883999,0.3476739831309141,0.3257468412059916,-0.07301113582746885,-1.1865955997320423
2025-02-06 05:00:00,336,336,30.508880952380952,87.40505952380951,2.864001451111583,772.0664749145508,-0.9105406981399792,-0.9303954064132671,-0.1658149927502203,-0.5407146352782358
2025-02-06 06:00:00,338,336,27.860267857142855,79.77232142857143,2.8626455445084376,760.1604171026321,-1.4760641865311201,-1.4999780383983345,-0.22387099601806587,-0.7059983219416573
2025-02-06 07:00:00,332,202,16.842039603960398,47.68316831683168,2.818396770163536,650.4801140209236,-3.8286414235886252,-3.8945871628696005,-2.1184756701202367,-2.2286152228573095
2025-02-06 08:00:00,345,336,33.233199404761905,95.52738095238095,2.8736375744509908,659.7218059358142,-0.3288528414089333,-0.32427828836349243,0.24677596800189655,-2.100319112185686
2025-02-06 09:00:00,351,351,39.06977777777778,112.35441595441596,2.8761350979680667,789.0988261774395,0.9173549069823087,0.9314161643183657,0.3537127091701244,-0.3042661101872125
2025-02-06 10:00:00,345,345,44.570617391304346,127.23014492753623,2.8566962455200655,877.1446752575861,2.0918767776604676,2.0414970757140396,-0.4786027900140664,0.9180144096343753
2025-02-06 11:00:00,354,354,35.30159604519774,101.31694915254236,2.8699045193631667,921.1121395132636,0.11278466524646501,0.10776031329667969,0.08693733466611722,1.5283847522129057
2025-02-06 12:00:00,343,343,33.511661807580175,96.22857142857143,2.8716317414585784,906.3713508806145,-0.26939643016083775,-0.2719529089297866,0.16089199450985392,1.3237484294250632
2025-02-06 13:00:00,341,323,29.077622291021672,83.35356037151703,2.863293059837682,795.9693628080859,-1.2161385192853784,-1.232732984600016,-0.19614626041800065,-0.2088871323921843
2025-02-06 14:00:00,327,327,37.306067278287465,107.64617737003059,2.88578131711694,809.1033338260942,0.5407730211730559,0.580070305015143,0.7667359433148008,-0.026557163507453074
2025-02-06 15:00:00,331,331,39.04039879154078,112.15861027190333,2.8755349564751223,792.4746849774594,0.9110819987904651,0.9168044332971277,0.32801638436816666,-0.25740136310326284
2025-02-06 16:00:00,351,351,33.8665527065527,97.17407407407407,2.8693516122380003,776.2080302442241,-0.1936212482189959,-0.2013960682974288,0.06326344902310392,-0.48322024509278805
2025-02-06 17:00:00,348,346,30.35843063583815,87.08757225433526,2.8684840534800307,811.6572844224169,-0.9426643737322379,-0.954087459292917,0.02611708955344538,0.008897592112319278
2025-02-06 18:00:00,324,303,28.093491749174916,80.62640264026402,2.868556369487766,728.939357039952,-1.42626695898012,-1.436243397118247,0.029213452069611998,-1.1394190217415585
2025-02-06 19:00:00,326,326,35.70388957055215,102.89754601226993,2.882076077592156,761.8858739934816,0.19868110600054337,0.22571019029201717,0.6080882920238025,-0.6820449798192196
2025-02-06 20:00:00,324,324,35.85800308641976,103.4888888888889,2.88624947490732,781.4851213620033,0.23158693632297397,0.2698383429768822,0.7867811072996311,-0.40996198542499174
2025-02-06 21:00:00,322,302,34.67542052980133,99.45430463576159,2.8681747228612195,759.7460981962697,-0.020914349701683134,-0.03123698401428689,0.012872446172493238,-0.7117500289617071
2025-02-06 22:00:00,320,300,42.94246,122.72333333333333,2.833442967287471,826.2403987630208,1.7442377626470333,1.70518242982197,-1.4742409806738799,0.21134503015821288
2025-02-06 23:00:00,321,306,36.02290522875817,103.3702614379085,2.8660308561416947,921.7208579069649,0.266796320036305,0.26098593183529606,-0.07892173270812067,1.536835174833066
2025-02-07 00:00:00,322,302,36.6741821192053,105.20794701986755,2.865328295651784,909.5284179283294,0.4058549011693435,0.3981207028012055,-0.10900334305170946,1.3675758397176254
2025-02-07 01:00:00,319,281,28.446128113879002,81.6779359430605,2.8775358634803583,783.3116628843694,-1.3509731580623616,-1.3577741638295484,0.41368944132145496,-0.38460535425205417
2025-02-07 02:00:00,327,317,36.489779179810725,104.64921135646689,2.863945741734671,775.287394719169,0.36648176896536466,0.3564258187670979,-0.16820030731432836,-0.4960008006770298
2025-02-07 03:00:00,326,326,44.60862883435583,127.27515337423311,2.8549758683425073,863.9750791210338,2.0999928607199005,2.044855769437222,-0.5522643702516239,0.7351898815072998
2025-02-07 04:00:00,303,303,35.18491089108911,101.05445544554455,2.872184862738522,922.7123413085938,0.08787042031064948,0.08817207973674519,0.18457504964168436,1.5505992632051857
2025-02-07 05:00:00,308,308,34.501006493506495,99.05422077922078,2.871290704237764,912.8527576396991,-0.058154682918780266,-0.06109269413820916,0.14628976603767566,1.4137253824039342
2025-02-07 06:00:00,315,303,27.98422112211221,80.3874587458746,2.8727735292244616,798.6516439607828,-1.449598077559232,-1.454074258149362,0.20978004779724024,-0.17165085111512193
